id,title,image,prompt,category,tags,tools
11,キャラクターデザイン（ファンタジー）,https://placehold.co/600x400/2e1a1a/e9b645?text=Fantasy+Character,"【目的・背景】
ゲームやイラスト用のオリジナルキャラクター

【キャラクター設定】
種族: [例: エルフ、人間、獣人]
職業: [例: 魔法使い、戦士、盗賊]
性別・年齢: [例: 女性、20代]
性格: [例: 勇敢、神秘的、陽気]

【ビジュアルスタイル】
[例: アニメスタイル、写実的、セルシェード]

【構図・ポーズ】
[例: 全身立ち絵、バストアップ、アクションポーズ]

【サンプルプロンプト】
female elf mage, long silver hair, glowing blue eyes, ornate robe, holding magical staff, forest background, fantasy art style, highly detailed, 8k",画像生成,"キャラクター,ファンタジー,ゲーム",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
12,キャラクターデザイン（現代）,https://placehold.co/600x400/1a1a2e/e94560?text=Modern+Character,"【目的・背景】
現代設定のキャラクターイラスト

【キャラクター設定】
職業: [例: 学生、会社員、アーティスト]
性別・年齢: [例: 男性、30代]
ファッション: [例: カジュアル、ストリート、フォーマル]

【ビジュアルスタイル】
[例: リアル調、イラスト調、漫画風]

【構図・ポーズ】
[例: 日常シーン、ポートレート]

【サンプルプロンプト】
young japanese businessman, modern suit, confident smile, city background, professional photograph style, cinematic lighting",画像生成,"キャラクター,現代,リアル",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
13,風景イラスト（自然）,https://placehold.co/600x400/228B22/ffffff?text=Nature+Landscape,"【目的・背景】
背景素材、壁紙、コンセプトアート用

【シーン設定】
場所: [例: 山、海、森、草原]
時間帯: [例: 朝焼け、昼、夕暮れ、夜]
季節: [例: 春、夏、秋、冬]
天気: [例: 晴れ、曇り、雨、雪]

【ビジュアルスタイル】
[例: 写真リアル、油絵風、ジブリ風、印象派]

【サンプルプロンプト】
breathtaking mountain landscape, sunset, golden hour lighting, snow-capped peaks, pine forest, lake reflection, oil painting style, 8k resolution",画像生成,"風景,自然,背景",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
14,風景イラスト（都市）,https://placehold.co/600x400/1a1a2e/e94560?text=Urban+Landscape,"【目的・背景】
都市景観のコンセプトアート

【シーン設定】
都市タイプ: [例: 近未来、現代東京、レトロ欧州]
時間帯: [例: 夜景、雨の日、霧]
視点: [例: 俯瞰、ストリートレベル、屋上から]

【ビジュアルスタイル】
[例: サイバーパンク、写実的、アニメ背景]

【サンプルプロンプト】
futuristic tokyo cityscape, neon lights, rain, reflections on wet streets, cyberpunk aesthetic, flying cars, holographic advertisements, cinematic lighting, 8k",画像生成,"風景,都市,SF",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
15,3Dオブジェクトデザイン,https://placehold.co/600x400/4a4a4a/ffffff?text=3D+Object,"【目的・背景】
ゲームアセット、プロダクトビジュアライゼーション

【オブジェクト】
種類: [例: 武器、家具、乗り物、食品]
詳細: [例: 中世の剣、モダンなソファ]

【ビジュアルスタイル】
[例: フォトリアル3D、ローポリ、スタイライズド]

【ライティング・背景】
[例: スタジオ照明、透明背景、環境光]

【サンプルプロンプト】
medieval fantasy sword, intricate gold handle design, glowing blue runes, 3D render, studio lighting, transparent background, octane render, highly detailed",画像生成,"3D,オブジェクト,ゲーム",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
16,ロゴデザイン,https://placehold.co/600x400/000000/ffffff?text=Logo+Design,"【目的・背景】
企業・サービス・イベント用のロゴ

【ブランド情報】
名前: [例: TechNova]
業種: [例: ITスタートアップ]
ブランドイメージ: [例: 革新的、信頼性、親しみやすい]

【デザイン希望】
タイプ: [例: シンボルマーク、ロゴタイプ、コンビネーション]
カラー: [例: 青系、モノクロ、グラデーション]
スタイル: [例: ミニマル、幾何学的、手書き風]

【サンプルプロンプト】
minimalist tech company logo, abstract geometric shape, blue gradient, modern typography, clean lines, vector style, white background",画像生成,"ロゴ,デザイン,ブランディング",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
17,アイコンセット,https://placehold.co/600x400/6366f1/ffffff?text=Icon+Set,"【目的・背景】
アプリ、Webサイト、プレゼン用のアイコン

【アイコン内容】
テーマ: [例: ビジネス、ヘルスケア、教育]
必要なアイコン: [例: ホーム、設定、ユーザー、検索]

【デザインスタイル】
線の太さ: [例: 細い線、太い線、塗りつぶし]
角: [例: 丸角、直角]
カラー: [例: 単色、グラデーション、アクセントカラー]

【サンプルプロンプト】
flat design icon set, business theme, home settings user search icons, thin line style, rounded corners, blue color scheme, consistent style, vector",画像生成,"アイコン,UI,Webデザイン",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
18,食品・料理写真風,https://placehold.co/600x400/8B4513/ffffff?text=Food+Photo,"【目的・背景】
メニュー、広告、SNS投稿用の料理ビジュアル

【料理情報】
料理名: [例: パスタ、寿司、ケーキ]
スタイル: [例: 和食、洋食、デザート]

【撮影スタイル】
アングル: [例: 真上(フラットレイ)、45度、接写]
ライティング: [例: 自然光、バックライト、ムーディ]
背景・小物: [例: 木のテーブル、白皿、ハーブ添え]

【サンプルプロンプト】
professional food photography, fresh sushi platter, wooden board, chopsticks, natural lighting, shallow depth of field, magazine quality, 8k",画像生成,"食品,写真,広告",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
19,インテリアデザイン,https://placehold.co/600x400/DEB887/333333?text=Interior,"【目的・背景】
住宅、オフィス、店舗のインテリア提案

【空間情報】
部屋タイプ: [例: リビング、寝室、オフィス]
スタイル: [例: モダン、北欧、和モダン]
広さ: [例: 20畳、コンパクト]

【要素】
家具: [例: ソファ、デスク、ベッド]
カラーパレット: [例: ナチュラル、モノトーン、アクセントカラー]
素材: [例: 木、コンクリート、ファブリック]

【サンプルプロンプト】
modern japanese living room interior, minimalist design, natural wood furniture, large windows, indoor plants, warm lighting, architectural photography, 8k",画像生成,"インテリア,建築,デザイン",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
20,アニメ風イラスト,https://placehold.co/600x400/FF69B4/ffffff?text=Anime+Style,"【目的・背景】
同人誌、グッズ、アイコン用イラスト

【キャラクター】
タイプ: [例: 美少女、少年、デフォルメ]
表情: [例: 笑顔、クール、照れ]
服装: [例: 制服、ファンタジー衣装、私服]

【スタイル・作画】
参考作風: [例: 京アニ風、ufotable風、萌え系]
塗り: [例: アニメ塗り、厚塗り、水彩]

【サンプルプロンプト】
anime girl illustration, long pink hair, school uniform, cherry blossom background, cute smile, soft lighting, nijijourney style, high quality, detailed",画像生成,"アニメ,イラスト,キャラクター",Midjourney|https://www.midjourney.com/;Stable Diffusion|https://stability.ai/;Gemini|https://gemini.google.com/
21,Python: データ分析スクリプト,,"【AIへの役割】
あなたは経験豊富なPythonエンジニアです。

【目的・背景】
[例: CSVファイルの売上データを分析し、月次レポートを自動生成したい]

【開発環境】
Python: [例: 3.11]
使用ライブラリ: [例: pandas, matplotlib]

【入力データ】
[例: sales.csv - 日付、商品名、売上金額、個数のカラムを含む]

【期待するアウトプット】
・コード全体（コメント付き）
・月別売上集計
・グラフ出力（棒グラフ、折れ線グラフ）
・エラーハンドリング",コーディング,"Python,データ分析,自動化",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
22,Python: Webスクレイピング,,"【AIへの役割】
あなたはWebスクレイピングの専門家です。

【目的・背景】
[例: ニュースサイトから最新記事のタイトルとURLを取得したい]

【対象サイト】
[例: 一般的なニュースサイト（robots.txtを遵守）]

【技術要件】
ライブラリ: [例: requests, BeautifulSoup]
注意点: [例: レート制限、User-Agent設定]

【期待するアウトプット】
・スクレイピングコード
・データ保存（CSV/JSON）
・エラー処理
・法的注意事項のコメント",コーディング,"Python,スクレイピング,自動化",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
23,JavaScript: REST API実装,,"【AIへの役割】
あなたはNode.js/Express開発者です。

【目的・背景】
[例: ユーザー管理のCRUD APIを構築したい]

【技術スタック】
フレームワーク: [例: Express.js]
データベース: [例: MongoDB, PostgreSQL]

【エンドポイント】
[例: GET /users, POST /users, PUT /users/:id, DELETE /users/:id]

【期待するアウトプット】
・ルーティング設定
・コントローラー
・バリデーション
・エラーハンドリング
・Swagger/OpenAPIドキュメント",コーディング,"JavaScript,API,バックエンド",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
24,React: UIコンポーネント,,"【AIへの役割】
あなたはReactのフロントエンド専門家です。

【目的・背景】
[例: 再利用可能なモーダルコンポーネントを作成したい]

【技術スタック】
React: [例: 18.x]
スタイリング: [例: CSS Modules, Tailwind]
状態管理: [例: useState, Zustand]

【コンポーネント要件】
props: [例: isOpen, onClose, title, children]
機能: [例: ESCキーで閉じる、外側クリックで閉じる]

【期待するアウトプット】
・TypeScript対応のコンポーネント
・スタイル
・使用例（ストーリー）
・アクセシビリティ対応",コーディング,"React,フロントエンド,UI",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
25,SQL: 複雑なクエリ作成,,"【AIへの役割】
あなたはデータベースエンジニアです。

【目的・背景】
[例: 顧客の購買履歴から優良顧客を抽出したい]

【データベース】
種類: [例: PostgreSQL, MySQL]
テーブル構造: [例: customers, orders, products]

【要件】
抽出条件: [例: 過去1年で10万円以上購入した顧客]
並び順: [例: 購入金額の降順]

【期待するアウトプット】
・SQLクエリ
・インデックス推奨
・実行計画の解説
・パフォーマンス最適化のヒント",コーディング,"SQL,データベース,分析",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
26,HTML/CSS: レスポンシブレイアウト,,"【AIへの役割】
あなたはCSS設計の専門家です。

【目的・背景】
[例: モバイルファーストのランディングページを作成したい]

【レイアウト要件】
構成: [例: ヘッダー、ヒーロー、特徴セクション、フッター]
ブレイクポイント: [例: 768px, 1024px]

【デザイン仕様】
カラー: [例: プライマリ #3B82F6]
フォント: [例: Noto Sans JP]

【期待するアウトプット】
・セマンティックHTML
・モダンCSS（Flexbox/Grid）
・レスポンシブ対応
・アクセシビリティ考慮",コーディング,"HTML,CSS,Webサイト",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
27,TypeScript: 型定義設計,,"【AIへの役割】
あなたはTypeScriptの型システム専門家です。

【目的・背景】
[例: ECサイトのドメインモデルの型を設計したい]

【ドメイン】
エンティティ: [例: User, Product, Order, Cart]
関係性: [例: UserはOrdersを持つ、OrderはProductsを含む]

【要件】
ユーティリティ型: [例: Partial, Pick, Omit の活用]
ジェネリクス: [例: APIレスポンス型]

【期待するアウトプット】
・interface/type定義
・型ガード関数
・Zodスキーマ（オプション）
・使用例",コーディング,"TypeScript,型定義,設計",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
28,Git: ワークフロー設計,,"【AIへの役割】
あなたはDevOpsエンジニアです。

【目的・背景】
[例: チーム開発のブランチ戦略を確立したい]

【チーム規模】
人数: [例: 5名]
リリース頻度: [例: 週1回]

【要件】
ブランチモデル: [例: Git Flow, GitHub Flow]
CI/CD: [例: GitHub Actions連携]

【期待するアウトプット】
・ブランチ命名規則
・マージ戦略
・コミットメッセージ規約
・プルリクエストテンプレート",コーディング,"Git,DevOps,チーム開発",GitHub Copilot|https://github.com/features/copilot;ChatGPT|https://chat.openai.com/;Gemini|https://gemini.google.com/
29,Lo-Fi BGM（作業用）,https://placehold.co/600x400/4B0082/ffffff?text=Lo-Fi,"【目的・背景】
作業・勉強に集中するためのBGM

【ムード・雰囲気】
[例: 穏やか、ノスタルジック、雨の日]

【楽器・サウンド】
メイン: [例: ピアノ、ギター]
サブ: [例: ソフトなドラム、環境音]

【テンポ・長さ】
BPM: [例: 70-85]
長さ: [例: 3分]

【サンプルプロンプト】
lo-fi hip hop, chill piano melody, soft vinyl crackle, rain ambience, slow tempo 75bpm, study focus, warm atmosphere",音声・音楽生成,"Lo-Fi,作業用,BGM",Suno AI|https://suno.com/;Udio|https://www.udio.com/
30,ゲームBGM（バトル）,https://placehold.co/600x400/8B0000/ffffff?text=Battle+BGM,"【目的・背景】
ゲームのボス戦・バトルシーン用

【ムード・雰囲気】
[例: 激しい、緊迫感、壮大]

【楽器・サウンド】
メイン: [例: オーケストラ、エレキギター]
パーカッション: [例: 激しいドラム、ティンパニ]

【テンポ・長さ】
BPM: [例: 140-180]
ループ対応: [例: はい]

【サンプルプロンプト】
epic orchestral battle music, intense percussion, brass fanfare, electric guitar riffs, fast tempo 160bpm, boss fight theme, loop ready",音声・音楽生成,"ゲーム,バトル,BGM",Suno AI|https://suno.com/;Udio|https://www.udio.com/
31,ポッドキャスト用ジングル,https://placehold.co/600x400/32CD32/ffffff?text=Podcast,"【目的・背景】
番組のオープニング/エンディング用

【ムード・雰囲気】
[例: 明るい、プロフェッショナル、カジュアル]

【番組ジャンル】
[例: ビジネス、エンタメ、教育]

【テンポ・長さ】
長さ: [例: 5-10秒]
BPM: [例: 110-130]

【サンプルプロンプト】
upbeat podcast intro jingle, modern synth melody, corporate feel, professional, 8 seconds, catchy hook, fade out ready",音声・音楽生成,"ポッドキャスト,ジングル,短尺",Suno AI|https://suno.com/;Udio|https://www.udio.com/
32,リラクゼーション音楽,https://placehold.co/600x400/2F4F4F/F0FFF0?text=Relaxing,"【目的・背景】
瞑想、ヨガ、睡眠導入用

【ムード・雰囲気】
[例: 穏やか、神秘的、自然]

【楽器・サウンド】
メイン: [例: シンセパッド、ピアノ]
環境音: [例: 波の音、鳥の声、風]

【テンポ・長さ】
BPM: [例: 50-70]
長さ: [例: 10分]

【サンプルプロンプト】
ambient meditation music, soft synthesizer pads, gentle piano, nature sounds, very slow tempo 55bpm, calming, healing frequencies, 432hz",音声・音楽生成,"リラクゼーション,瞑想,睡眠",Suno AI|https://suno.com/;Udio|https://www.udio.com/
33,製品プロモーション動画,,"【AIへの役割】
あなたは動画プロデューサーです。

【目的・背景】
[例: 新発売のスマートウォッチのSNS広告動画]

【ターゲット】
[例: 20-30代の健康志向ビジネスパーソン]

【動画仕様】
長さ: [例: 30秒]
アスペクト比: [例: 9:16（縦動画）]
スタイル: [例: クリーン、ミニマル、ダイナミック]

【シーン構成】
イントロ: [例: 問題提起、日常シーン]
本編: [例: 製品登場、機能紹介]
アウトロ: [例: ロゴ、CTA]

【サンプルプロンプト（シーン別）】
Scene 1: close-up of smartwatch on wrist, morning sunlight, person checking health stats
Scene 2: dynamic transition, product features appearing, sleek animation",動画生成,"プロモーション,広告,SNS",Runway Gen-2|https://runwayml.com/;Sora|https://openai.com/sora;Gemini|https://gemini.google.com/
34,YouTube動画オープニング,,"【目的・背景】
チャンネルのブランディング用イントロ

【チャンネルジャンル】
[例: テック系、Vlog、ゲーム実況]

【トーン・雰囲気】
[例: クール、ポップ、プロフェッショナル]

【動画仕様】
長さ: [例: 5秒]
ロゴ/チャンネル名: [例: TechReview]

【要素】
モーション: [例: ロゴアニメーション、パーティクル]
カラー: [例: ブランドカラー使用]
サウンド: [例: ジングル連動]

【サンプルプロンプト】
dynamic youtube intro animation, logo reveal, particle effects, tech style, blue neon glow, fast paced, 5 seconds, 4k",動画生成,"YouTube,オープニング,ブランディング",Runway Gen-2|https://runwayml.com/;Sora|https://openai.com/sora;Gemini|https://gemini.google.com/
35,ドキュメンタリー風映像,,"【目的・背景】
ストーリーテリング、インタビュー素材

【テーマ】
[例: 職人の仕事、地域の歴史、自然環境]

【ビジュアルスタイル】
トーン: [例: シネマティック、ノスタルジック]
カラーグレード: [例: フィルム風、ナチュラル]

【カメラワーク】
[例: ゆっくりしたパン、クローズアップ、インタビューショット]

【サンプルプロンプト】
documentary style footage, craftsman hands working, warm color grading, shallow depth of field, slow cinematic movements, natural lighting, film grain",動画生成,"ドキュメンタリー,撮影,映像",Runway Gen-2|https://runwayml.com/;Sora|https://openai.com/sora;Gemini|https://gemini.google.com/
36,SNS用ショート動画,,"【目的・背景】
TikTok/Reels/Shorts用のエンゲージメント獲得

【コンテンツタイプ】
[例: ハウツー、Before/After、トレンド]

【ターゲット】
[例: Z世代]

【動画仕様】
長さ: [例: 15-60秒]
アスペクト比: 9:16

【要素】
フック: [例: 最初の3秒で興味を引く]
テンポ: [例: 速いカット]
テキスト: [例: 字幕オーバーレイ]

【サンプルプロンプト】
vertical video, fast cuts, trendy transitions, bright colorful aesthetic, gen-z style, dynamic camera movement, text overlays, engaging hook",動画生成,"SNS,ショート,TikTok",Runway Gen-2|https://runwayml.com/;Sora|https://openai.com/sora;Gemini|https://gemini.google.com/
37,議事録作成,,"【AIへの役割】
あなたは会議ファシリテーターです。

【目的・背景】
[例: 部門ミーティングの議事録を作成する]

【参加者】
[例: マーケティング部 5名]

【トーン・雰囲気】
簡潔で正確、要点を押さえた

【期待するアウトプット】
・日時、場所、参加者
・議題一覧
・各議題の議論要約
・決定事項
・アクションアイテム（担当者、期限）",文章生成,"議事録,ビジネス,会議",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
38,製品説明文,,"【AIへの役割】
あなたはコピーライターです。

【目的・背景】
[例: ECサイトの商品ページ用説明文を作成]

【製品情報】
名前: [例: ワイヤレスイヤホン XYZ]
特徴: [例: ノイズキャンセリング、30時間再生]

【ターゲット】
[例: 20-40代の音楽好き]

【トーン・雰囲気】
魅力的で購買意欲を刺激する

【期待するアウトプット】
・キャッチコピー
・製品概要（100文字）
・詳細説明（300-500文字）
・スペック表",文章生成,"製品説明,EC,マーケティング",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
39,プレスリリース作成,,"【AIへの役割】
あなたは広報担当者です。

【目的・背景】
[例: 新サービスのローンチを発表する]

【発表内容】
[例: AIチャットボットサービス開始]

【ターゲット】
[例: IT系メディア、業界記者]

【トーン・雰囲気】
公式、信頼性がある、ニュース価値を伝える

【期待するアウトプット】
・タイトル
・リード文（5W1H）
・本文（背景、詳細、今後の展望）
・会社概要
・問い合わせ先",文章生成,"プレスリリース,広報,メディア",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
40,FAQ作成,,"【AIへの役割】
あなたはカスタマーサポートの専門家です。

【目的・背景】
[例: 自社サービスのヘルプページ用FAQ]

【サービス/製品】
[例: サブスクリプション型動画配信サービス]

【想定される質問カテゴリ】
[例: 料金、使い方、解約、トラブル]

【トーン・雰囲気】
親切で分かりやすい

【期待するアウトプット】
・カテゴリ別Q&A（各5-10件）
・回答は簡潔に（100文字以内）",文章生成,"FAQ,サポート,ヘルプ",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
41,求人票作成,,"【AIへの役割】
あなたは採用担当者です。

【目的・背景】
[例: エンジニア採用の求人票を作成]

【ポジション詳細】
職種: [例: フロントエンドエンジニア]
雇用形態: [例: 正社員]
必須スキル: [例: React, TypeScript 3年以上]

【企業の魅力】
[例: フルリモート、フレックス制度]

【トーン・雰囲気】
魅力的で候補者を惹きつける

【期待するアウトプット】
・職種タイトル
・仕事内容
・応募条件
・福利厚生
・選考フロー",文章生成,"求人票,採用,HR",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
42,自己紹介文,,"【AIへの役割】
あなたはパーソナルブランディングの専門家です。

【目的・背景】
[例: LinkedInプロフィール用の自己紹介]

【基本情報】
職業: [例: マーケティングマネージャー]
経験年数: [例: 10年]
強み: [例: データドリブンな戦略立案]

【ターゲット】
[例: 転職エージェント、採用担当者]

【トーン・雰囲気】
プロフェッショナルかつ人間味のある

【期待するアウトプット】
・キャッチフレーズ
・経歴要約
・実績ハイライト
・価値観・目標",文章生成,"自己紹介,キャリア,プロフィール",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
43,レビュー返信,,"【AIへの役割】
あなたはカスタマーサクセス担当です。

【目的・背景】
[例: 低評価レビューに誠実に返信する]

【レビュー内容】
[例: 配送が遅れた、商品に傷があった]

【対象プラットフォーム】
[例: Amazon、Googleマップ]

【トーン・雰囲気】
誠実、謝罪と感謝、建設的

【期待するアウトプット】
・お礼
・問題への謝罪
・改善策の提示
・継続利用のお願い",文章生成,"レビュー,カスタマーサポート,返信",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
44,契約書ドラフト,,"【AIへの役割】
あなたは法務アドバイザーです。

【目的・背景】
[例: フリーランス向け業務委託契約書のドラフト]

【契約種類】
[例: 業務委託契約、秘密保持契約、売買契約]

【主要条件】
[例: 期間、報酬、成果物の定義]

【トーン・雰囲気】
法的に正確、明確

【期待するアウトプット】
・契約書タイトル
・当事者情報
・目的条項
・権利義務
・期間・解除条項
・署名欄

※法的助言ではありません。専門家に確認してください。",文章生成,"契約書,法務,ビジネス",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
45,スピーチ原稿,,"【AIへの役割】
あなたはスピーチライターです。

【目的・背景】
[例: 結婚式の友人代表スピーチ]

【シチュエーション】
場面: [例: 結婚式、入社式、卒業式]
時間: [例: 5分程度]

【話者情報】
[例: 新郎の大学時代の友人]

【トーン・雰囲気】
感動的、ユーモア、心温まる

【期待するアウトプット】
・冒頭（自己紹介、関係性）
・エピソード
・メッセージ
・締めの言葉",文章生成,"スピーチ,原稿,イベント",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
46,小説・ストーリー,,"【AIへの役割】
あなたは小説家です。

【目的・背景】
[例: 短編小説のプロット作成]

【ジャンル】
[例: ミステリー、恋愛、SF、ファンタジー]

【設定】
舞台: [例: 近未来の東京]
主人公: [例: 記憶を失った探偵]

【トーン・雰囲気】
[例: ダーク、コミカル、感動的]

【期待するアウトプット】
・あらすじ（200文字）
・主要キャラクター紹介
・起承転結の構成
・冒頭シーン（500文字）",文章生成,"小説,ストーリー,クリエイティブ",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
